pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21
"CA1 1AA","CA1  1AA","CA1 1AA","199101","","E99999999","E58000130","E06000063","E05014187","E43000295","1","339560","0555499","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGJ","E00097117","16UDGJ","E65000001","E01019215","E02003994","5","6C2","E00097117","E01019215","E02003994","E33003746","E38000215","E63007229","C1","8C2",54.890559,-2.943791,"E37000007","","E23000002",9975,"E56000029","E54000050","E00097117","E01019215","E02003994"
"CA1 1AB","CA1  1AB","CA1 1AB","201410","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340334","0555694","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003708","E38000215","E63007229","C1","2A3",54.892405,-2.931767,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1AD","CA1  1AD","CA1 1AD","199706","199906","E99999999","E58000119","E06000063","E05014178","E43000295","0","340300","0555700","8","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003708","E38000215","E63007229","C1","2A3",54.892455,-2.932298,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1AE","CA1  1AE","CA1 1AE","199208","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340407","0555837","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003713","E38000215","E63007229","C1","2A3",54.893698,-2.930658,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1AF","CA1  1AF","CA1 1AF","201004","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340361","0555862","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003716","E38000215","E63007229","C1","2A3",54.893917,-2.931381,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1AG","CA1  1AG","CA1 1AG","202109","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340526","0555762","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097056","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097056","E01019206","E02003992","E33003707","E38000215","E63007229","C1","2A3",54.893045,-2.928791,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097056","E01019206","E02003992"
"CA1 1AJ","CA1  1AJ","CA1 1AJ","202405","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340579","0555666","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097056","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097056","E01019206","E02003992","E33003707","E38000215","E63007229","C1","2A3",54.892189,-2.927945,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097056","E01019206","E02003992"
"CA1 1AZ","CA1  1AZ","CA1 1AZ","199912","200010","E99999999","E58000119","E06000063","E05014178","E43000295","1","340400","0555800","8","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003715","E38000215","E63007229","C1","2A3",54.893365,-2.930760,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1BA","CA1  1BA","CA1 1BA","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340443","0555818","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003713","E38000215","E63007229","C1","2A3",54.893532,-2.930093,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1BB","CA1  1BB","CA1 1BB","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340466","0555858","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003713","E38000215","E63007229","C1","2A3",54.893894,-2.929743,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1BD","CA1  1BD","CA1 1BD","199412","199912","E99999999","E58000119","E06000063","E05014178","E43000295","1","340645","0555784","6","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097064","16UDGF","E65000001","E01019206","E02003992","5","6C2","E00097064","E01019206","E02003992","E33007876","E38000215","E63007229","C1","5A3",54.893250,-2.926937,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097064","E01019206","E02003992"
"CA1 1BE","CA1  1BE","CA1 1BE","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340423","0555961","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003713","E38000215","E63007229","C1","2A3",54.894814,-2.930434,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1BG","CA1  1BG","CA1 1BG","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340381","0555959","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003721","E38000215","E63007229","C1","2A3",54.894791,-2.931089,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1BH","CA1  1BH","CA1 1BH","199208","199706","E99999999","E58000119","E06000063","E05014178","E43000295","0","340300","0555900","8","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003716","E38000215","E63007229","C1","2A3",54.894252,-2.932339,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1BJ","CA1  1BJ","CA1 1BJ","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340372","0555900","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003713","E38000215","E63007229","C1","2A3",54.894267,-2.931221,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1BN","CA1  1BN","CA1 1BN","198504","199112","E99999999","E58000119","E06000063","E05014178","E43000295","1","340300","0555900","8","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003716","E38000215","E63007229","C1","2A3",54.894252,-2.932339,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1BP","CA1  1BP","CA1 1BP","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","1","340377","0555969","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003721","E38000215","E63007229","C1","2A3",54.894881,-2.931153,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1BQ","CA1  1BQ","CA1 1BQ","198001","199512","E99999999","E58000119","E06000063","E05014178","E43000295","1","340300","0555900","8","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003716","E38000215","E63007229","C1","2A3",54.894252,-2.932339,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1BU","CA1  1BU","CA1 1BU","198001","200401","E99999999","E58000119","E06000063","E05014178","E43000295","0","340259","0555856","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003716","E38000215","E63007229","C1","2A3",54.893851,-2.932969,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1BX","CA1  1BX","CA1 1BX","198001","199507","E99999999","E58000119","E06000063","E05014178","E43000295","1","340300","0555800","8","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003715","E38000215","E63007229","C1","2A3",54.893353,-2.932319,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1BZ","CA1  1BZ","CA1 1BZ","199706","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340275","0555860","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003716","E38000215","E63007229","C1","2A3",54.893896,-2.932724,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DA","CA1  1DA","CA1 1DA","198001","199405","E99999999","E58000119","E06000063","E05014178","E43000295","1","340300","0555900","8","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003716","E38000215","E63007229","C1","2A3",54.894252,-2.932339,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DB","CA1  1DB","CA1 1DB","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340324","0555856","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003716","E38000215","E63007229","C1","2A3",54.893866,-2.931960,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DD","CA1  1DD","CA1 1DD","198001","200704","E99999999","E58000119","E06000063","E05014178","E43000295","1","340323","0555849","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003716","E38000215","E63007229","C1","2A3",54.893796,-2.931970,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DE","CA1  1DE","CA1 1DE","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","1","340577","0555819","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097056","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097056","E01019206","E02003992","E33003705","E38000215","E63007229","C1","2A3",54.893557,-2.928004,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097056","E01019206","E02003992"
"CA1 1DF","CA1  1DF","CA1 1DF","198001","200704","E99999999","E58000119","E06000063","E05014178","E43000295","1","340364","0555851","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003715","E38000215","E63007229","C1","2A3",54.893819,-2.931331,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DG","CA1  1DG","CA1 1DG","199007","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340408","0555838","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003713","E38000215","E63007229","C1","2A3",54.893714,-2.930647,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DH","CA1  1DH","CA1 1DH","198510","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340305","0555748","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003708","E38000215","E63007229","C1","2A3",54.892886,-2.932230,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DJ","CA1  1DJ","CA1 1DJ","199201","","E99999999","E58000119","E06000063","E05014178","E43000295","1","340351","0555808","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003715","E38000215","E63007229","C1","2A3",54.893431,-2.931525,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DL","CA1  1DL","CA1 1DL","199405","199512","E99999999","E58000119","E06000063","E05014178","E43000295","1","340300","0555700","8","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003708","E38000215","E63007229","C1","2A3",54.892455,-2.932298,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DN","CA1  1DN","CA1 1DN","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340359","0555727","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003719","E38000215","E63007229","C1","2A3",54.892704,-2.931384,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DP","CA1  1DP","CA1 1DP","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340329","0555777","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003715","E38000215","E63007229","C1","2A3",54.893150,-2.931862,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DQ","CA1  1DQ","CA1 1DQ","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340307","0555781","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003715","E38000215","E63007229","C1","2A3",54.893190,-2.932209,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DR","CA1  1DR","CA1 1DR","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340437","0555765","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003709","E38000215","E63007229","C1","2A3",54.893055,-2.930176,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DS","CA1  1DS","CA1 1DS","198001","199405","E99999999","E58000119","E06000063","E05014178","E43000295","1","340400","0555700","8","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003719","E38000215","E63007229","C1","2A3",54.892466,-2.930739,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DT","CA1  1DT","CA1 1DT","198001","199405","E99999999","E58000119","E06000063","E05014178","E43000295","1","340500","0555800","8","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097056","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097056","E01019206","E02003992","E33003705","E38000215","E63007229","C1","2A3",54.893377,-2.929201,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097056","E01019206","E02003992"
"CA1 1DU","CA1  1DU","CA1 1DU","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340520","0555795","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097056","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097056","E01019206","E02003992","E33003705","E38000215","E63007229","C1","2A3",54.893341,-2.928892,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097056","E01019206","E02003992"
"CA1 1DW","CA1  1DW","CA1 1DW","199412","199512","E99999999","E58000119","E06000063","E05014178","E43000295","1","340300","0555700","8","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003708","E38000215","E63007229","C1","2A3",54.892455,-2.932298,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DX","CA1  1DX","CA1 1DX","198001","199912","E99999999","E58000119","E06000063","E05014178","E43000295","0","340497","0555789","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097056","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097056","E01019206","E02003992","E33003705","E38000215","E63007229","C1","2A3",54.893278,-2.929245,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097056","E01019206","E02003992"
"CA1 1DY","CA1  1DY","CA1 1DY","198001","199405","E99999999","E58000119","E06000063","E05014178","E43000295","1","340500","0555700","8","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003709","E38000215","E63007229","C1","2A3",54.892478,-2.929180,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1DZ","CA1  1DZ","CA1 1DZ","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340577","0555819","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097056","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097056","E01019206","E02003992","E33003705","E38000215","E63007229","C1","2A3",54.893557,-2.928004,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097056","E01019206","E02003992"
"CA1 1EA","CA1  1EA","CA1 1EA","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340633","0555883","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097061","16UDGF","E65000001","E01019206","E02003992","5","6C2","E00097061","E01019206","E02003992","E33007876","E38000215","E63007229","C1","5A3",54.894145,-2.927148,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097061","E01019206","E02003992"
"CA1 1EB","CA1  1EB","CA1 1EB","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340546","0555846","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097056","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097056","E01019206","E02003992","E33003705","E38000215","E63007229","C1","2A3",54.893802,-2.928497,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097056","E01019206","E02003992"
"CA1 1ED","CA1  1ED","CA1 1ED","198001","202404","E99999999","E58000119","E06000063","E05014178","E43000295","1","340490","0555783","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097056","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097056","E01019206","E02003992","E33003705","E38000215","E63007229","C1","2A3",54.893230,-2.929357,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097056","E01019206","E02003992"
"CA1 1EE","CA1  1EE","CA1 1EE","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340424","0555792","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003715","E38000215","E63007229","C1","2A3",54.893303,-2.930388,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1EF","CA1  1EF","CA1 1EF","199507","199606","E99999999","E58000119","E06000063","E05014178","E43000295","1","340300","0555700","8","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003708","E38000215","E63007229","C1","2A3",54.892455,-2.932298,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1EG","CA1  1EG","CA1 1EG","199002","199405","E99999999","E58000119","E06000063","E05014178","E43000295","1","340400","0555900","8","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003713","E38000215","E63007229","C1","2A3",54.894263,-2.930780,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1EH","CA1  1EH","CA1 1EH","198001","200408","E99999999","E58000119","E06000063","E05014178","E43000295","1","340282","0555981","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003711","E38000215","E63007229","C1","2A3",54.894977,-2.932637,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1EJ","CA1  1EJ","CA1 1EJ","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340300","0555987","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003711","E38000215","E63007229","C1","2A3",54.895033,-2.932357,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1EL","CA1  1EL","CA1 1EL","200609","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340601","0555828","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097056","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097056","E01019206","E02003992","E33003705","E38000215","E63007229","C1","2A3",54.893641,-2.927632,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097056","E01019206","E02003992"
"CA1 1EP","CA1  1EP","CA1 1EP","198001","198112","E99999999","E58000119","E06000063","E05014178","E43000295","1","340700","0556100","8","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097061","16UDGF","E65000001","E01019206","E02003992","5","6C2","E00097061","E01019206","E02003992","E33007876","E38000215","E63007229","C1","5A3",54.896096,-2.926145,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097061","E01019206","E02003992"
"CA1 1ER","CA1  1ER","CA1 1ER","198001","","E99999999","E58000119","E06000063","E05014178","E43000295","0","340269","0556016","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003711","E38000215","E63007229","C1","2A3",54.895353,-2.932493,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1ES","CA1  1ES","CA1 1ES","198001","201808","E99999999","E58000119","E06000063","E05014178","E43000295","1","340292","0556022","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003711","E38000215","E63007229","C1","2A3",54.895347,-2.932489,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1ET","CA1  1ET","CA1 1ET","199501","199812","E99999999","E58000119","E06000063","E05014178","E43000295","0","340324","0555985","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003721","E38000215","E63007229","C1","2A3",54.895018,-2.931983,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
"CA1 1EU","CA1  1EU","CA1 1EU","198001","200409","E99999999","E58000119","E06000063","E05014178","E43000295","1","340485","0555697","1","E18000002","E40000012","E92000001","E12000002","1","E14001152","E15000002","E24000021","K01000010","E16000086","E06000063","16UDGF","E00097059","16UDGF","E65000001","E01019206","E02003992","5","2B2","E00097059","E01019206","E02003992","E33003709","E38000215","E63007229","C1","2A3",54.892450,-2.929413,"E37000007","","E23000002",6285,"E56000029","E54000050","E00097059","E01019206","E02003992"
